epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2653.68,0.59957,0.34897,0.94424,0.96376,0.94246,0.97163,0.80484,0.65699,0.33087,0.94809,0.00040505,0.00040505,0.00040505
58,2699.95,0.59852,0.35079,0.94425,0.97552,0.94717,0.97078,0.80251,0.66905,0.3424,0.9653,0.000396051,0.000396051,0.000396051
59,2746.53,0.58964,0.35082,0.94055,0.97433,0.95203,0.9713,0.79922,0.65503,0.32608,0.9457,0.000387052,0.000387052,0.000387052
60,2793.31,0.59473,0.34299,0.93882,0.96142,0.95,0.97,0.81003,0.65096,0.32348,0.95012,0.000378053,0.000378053,0.000378053
61,2840.09,0.59481,0.34704,0.93875,0.95732,0.949,0.96581,0.8033,0.64932,0.32328,0.94862,0.000369054,0.000369054,0.000369054
62,2886.02,0.58083,0.34364,0.93316,0.95767,0.94854,0.97369,0.80606,0.64694,0.3299,0.94997,0.000360055,0.000360055,0.000360055
63,2932.26,0.57512,0.34136,0.92943,0.94111,0.94817,0.9679,0.80083,0.65203,0.33812,0.95689,0.000351056,0.000351056,0.000351056
64,2978.28,0.57467,0.33423,0.93392,0.96264,0.95154,0.96719,0.7969,0.63421,0.32867,0.94914,0.000342057,0.000342057,0.000342057
65,3024.53,0.57937,0.33803,0.93718,0.9489,0.95143,0.9649,0.80346,0.63299,0.32,0.94492,0.000333058,0.000333058,0.000333058
66,3071.04,0.57181,0.33639,0.92971,0.95855,0.93096,0.97034,0.80648,0.63682,0.32581,0.94043,0.000324058,0.000324058,0.000324058
67,3117.12,0.56423,0.33243,0.93265,0.96073,0.95189,0.96637,0.80588,0.6481,0.31948,0.94025,0.000315059,0.000315059,0.000315059
68,3163.28,0.56799,0.33246,0.93105,0.96424,0.94089,0.96387,0.79541,0.64925,0.32636,0.9537,0.00030606,0.00030606,0.00030606
69,3209.78,0.56094,0.32619,0.92755,0.95564,0.94571,0.96798,0.80723,0.65462,0.32717,0.94767,0.000297061,0.000297061,0.000297061
70,3256.55,0.56771,0.32629,0.93168,0.96086,0.94434,0.96809,0.80388,0.65462,0.32571,0.94956,0.000288062,0.000288062,0.000288062
71,3303.2,0.55584,0.3234,0.92777,0.97082,0.94669,0.97159,0.80564,0.65106,0.31528,0.94723,0.000279063,0.000279063,0.000279063
